Unnamed: 0,txt,sentiment,num_of_words,anon_txt,anon_txt_history,num_replaced,num_lemmatized,num_protected,num_no_change,force_anon_txt,num_of_words_after_forcing,num_of_deleting_after_forcing
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25,just awful : this was probably the bad book i have there read . i am amazed by the number of fan for this kind of rubbish .,(just) awful: (this) (was) [probably] (the) {bad} book (i) (have) [there] read. (i) (am) {amaze} (by) (the) number (of) {fan} (for) (this) kind (of) rubbish. ,2,3,14,6,just * : this was * the * book i have there * . i am * by the * of * for this kind of * .,17,8
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23,"no lesson learn : this is one of the most predictable includes i have there on amazon.the book is one long , illusive , libertarian apology .","(no) {lesson} {learn} (this) (is) one (of) (the) (most) [predictable] {purchase} (i) (have) {make} (on) amazon.the book (is) one long, [illusive] libertarian apology. ",2,4,10,7,"no * * : this is * of * most predictable include i have there on *.* * is * * , * , * * .",12,12
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21,"squeem : i order accord to the size chart for my measurement and it was there to small ! ! very uncomfortable.i return it ,","squeem: (i) {order} {accord} (to) (the) size chart (for) (my) {measurement} (and) (it) (was) [there] (to) small!! (very) uncomfortable.i {return} (it,) ",1,4,10,6,"* : i order * to the size chart for my * and it was there to * ! ! very *.i * it ,",16,6
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28,the scarlett letter : write in like english . it was very hard to read as i had to there through most sentence to figure out what was being say .,(the) scarlett letter: {write} (in) [like] english. (it) (was) (very) hard (to) read (as) (i) (had) (to) [there] (through) (most) {sentence} (to) figure (out) (what) (was) (being) {say} ,2,3,17,6,the * * : write in like * . it was very * to read as i had to there through most * to * out what was being * .,21,7
852,don't read this book!!: this book sux! who cares about pearl anyways! someone shoot me in the head before i die of boredom!!!,0,23,do not read this book ! ! : this book sux ! who care about pearl anyways ! someone shoot me in the head before i die of boredom ! ! !,(don't) read (this) book!!: (this) book sux! (who) {care} (about) pearl anyways! someone shoot (me) (in) (the) head (before) (i) die (of) boredom!!! ,0,1,10,12,do not read this book ! ! : this book * ! who * about * * ! * * me in the * before i * of * ! ! !,15,9
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23,not user friendly : the dish is not easy to there apart for cleaning and i wish i there put in it the microwave .,(not) user friendly: (the) dish (is) (not) easy (to) [there] apart (for) {clean} (and) (i) wish (i) [there] put (in) (it) (the) microwave. ,2,1,12,8,not * * : the * is not * to there * for * and i * i there put in it the * .,15,8
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21,"do not buy it ! : there left i buy this and charge my ibook with it , my ibook has not work ! do not buy it .","(don't) buy (it!:) [there] [left] (i) {buy} (this) (and) {charge} (my) ibook (with) (it,) (my) ibook (hasn't) {work} (don't) buy (it.) ",2,3,6,10,"do not * it ! : there * i * this and charge my ibook with it , my ibook has not work ! do not * it .",20,4
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25,"it stop work after a few week : it work there for a few week , but then the battery of my ibook g4 stop being re - charge .",(it) {stop} {work} (after) (a) (few) {week} (it) {work} [there] (for) (a) (few) {week} (but) (then) (the) battery (of) (my) ibook g4 {stop} (being) {recharge} ,1,7,14,3,"it * work after a few * : it work there for a few * , but then the * of my ibook * * being re - charge .",20,6
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22,"does not work : i includes this includes and the hd 's do not even work . i can not even use them . i there there , no picture , there .","(does) (not) work: (i) {purchase} (this) [includes] (and) (the) {dvd} (don't) even work. (i) {can} even use (them.) (i) [there] nothing,no {picturenothe} ",2,4,8,8,"does not work : i include this include and the * 's do not * work . i can not * use them . i there there , no * , there .",23,4
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22,there : i was not even able to use this item because it tear upon put it together . do not buy this item !,{break} (i) (was) (not) even able (to) use (this) item (because) (it) {tear} upon {put} (it) together. (do) (not) buy (this) item! ,0,3,11,8,there : i was not * * to * this * because it * * put it * . do not * this * !,13,9
